No,Project_name,Municipality,Sector,Currency,Budget,YearStart,YearEnd,Funding_Donor,Implementing_Partner,Status,SDG_Alignment,NSDP_Alignment,duration_years,project_status,budget_clean,unit_of_analysis,activity_group,beneficiary_data_available,budget_normalized,derived_status,level_areas
317,Access to Justice,Aileu,Access to Justice,USD,47446.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,474460.0,Activity record,,False,True,True,Municipality
353,Access to Justice - Cadastral Services; Registration and Notary Services,Ainaro,Access to Justice,USD,37694.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,376940.0,Activity record,,False,True,True,Municipality
387,Access to Justice - Cadastral Services; Registration and Notary Services,Bobonaro,Access to Justice,USD,49125.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,491250.0,Activity record,,False,True,True,Municipality
405,Access to Justice - Cadastral Services; Registration and Notary Services,Covalima,Access to Justice,USD,56991.0,2025,,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,569910.0,Activity record,,False,True,True,Municipality
459,Access to Justice - Cadastral Services; Registration and Notary Services,Lautem,Access to Justice,USD,50611.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,506110.0,Activity record,,False,True,True,Municipality
476,Access to Justice - Cadastral Services; Registration and Notary Services,Liquica,Access to Justice,USD,39605.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,396050.0,Activity record,,False,True,True,Municipality
494,Access to Justice - Cadastral Services,Manatuto,Access to Justice,USD,8340.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,83400.0,Activity record,,False,True,True,Municipality
511,Access to Justice - Organization of the municipal cadastre and building registration of rural buildings and urban buildings,Manufahi,Access to Justice,USD,34266.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,342660.0,Activity record,,False,True,True,Municipality
553,Access to Justice - Management of the State; Management of Disputes Conflicts mediation; Management of Civil and Criminal Record Services,Oecusse,Access to Justice,USD,1481189.0,2025,,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,,14811890.0,Activity record,,False,True,True,Municipality
537,"Access to Justice - Identification of rural, urban buildingsof the State and promoted regularization; Organization of the municipal cadastre",Viqueque,Access to Justice,USD,77390.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,773900.0,Activity record,,False,True,True,Municipality
183,Short-Term Training Scholarships and ELTO Management Fees FY24-25,Timor-Leste,Admin costs of donors,USD,1883812.0,2024,2025.0,MFAT,New Zealand Gov,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,18838120.0,Activity record,,False,True,True,National
297,Municipal Services for Agriculture,Aileu,Agriculture,USD,318474.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,3184740.0,Activity record,,False,True,True,Municipality
327,Production and Productivity of Agricultural and Horicultural Products,Aileu,Agriculture,USD,300974.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,3009740.0,Activity record,,False,True,True,Municipality
328,Implenetation of te Food security Policy,Aileu,Agriculture,USD,62407.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,624070.0,Activity record,,False,True,True,Municipality
329,Production and Productivity of Coffee Products,Aileu,Agriculture,USD,5000.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,50000.0,Activity record,,False,True,True,Municipality
330,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Aileu,Agriculture,USD,12500.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,125000.0,Activity record,,False,True,True,Municipality
643,Construction of Irrigation Scheme - Berkate - PDIM,Aileu,Agriculture,USD,117071.0,2024,2024.0,"Gov of Japan, Gov TL, UNDP",GovTL,Completed,5. Job & Social Protection,2. Infrastructure Development,,,1170710.0,Activity record,,False,True,True,Municipality
336,Municipal Services for Agriculture,Ainaro,Agriculture,USD,358665.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,3586650.0,Activity record,,False,True,True,Municipality
344,Implementation of the Food Security Policy,Ainaro,Agriculture,USD,50396.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,503960.0,Activity record,,False,True,True,Municipality
166,Construction and Supervision of Galata Irrigation Project,Baucau,Agriculture,USD,457528.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,4575280.0,Activity record,,False,True,True,Municipality
167,Construction and Supervision of Watuwa Irrigation Project,Baucau,Agriculture,USD,400000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,4000000.0,Activity record,,False,True,True,Municipality
170,Constrution and Supervision of Fatuk Metan Irrigation Project,Baucau,Agriculture,USD,50000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,,500000.0,Activity record,,False,True,True,Municipality
171,"Constrution of Fatuk Metan Irrigation Project, Bemase",Baucau,Agriculture,USD,50000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,500000.0,Activity record,,False,True,True,Municipality
173,Construction and Rehabilitation of Caraulun Irrigation Project,Baucau,Agriculture,USD,50000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,500000.0,Activity record,,False,True,True,Municipality
177,Construction of Watuwa Irrigation Project,Baucau,Agriculture,USD,3000000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,30000000.0,Activity record,,False,True,True,Municipality
370,Production and Productivity of Agricultural and Horicultural Products,Baucau,Agriculture,USD,465711.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,4657110.0,Activity record,,False,True,True,Municipality
371,Implementation of Food Security Policy,Baucau,Agriculture,USD,59604.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,596040.0,Activity record,,False,True,True,Municipality
372,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Baucau,Agriculture,USD,7800.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,78000.0,Activity record,,False,True,True,Municipality
617,"Construction of Irrigation Channel - Caibada, Bahamori; PDIM",Baucau,Agriculture,USD,80988.0,2023,2023.0,"GovTL, GCF, UNDP",UNDP,Completed,1. Transformation Food Systems,3. Economic Development,,,809880.0,Activity record,,False,True,True,Municipality
638,Construction of Irrigation Channel - Lague - Batufalo - PDIM,Baucau,Agriculture,USD,45986.0,2023,2023.0,"Gov of Japan, Gov TL, UNDP",GovTL,Completed,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,459860.0,Activity record,,False,True,True,Municipality
647,Water Sources Protection and Irrigation Channel - Waibubu - PDIM,Baucau,Agriculture,USD,62506.0,2024,2025.0,"Gov of Japan, Gov TL, UNDP",GovTL,Completed,1. Transformation Food Systems,3. Economic Development,,,625060.0,Activity record,,False,True,True,Municipality
168,Construction and Supervision  of Irrigation Project Malaian II,Bobonaro,Agriculture,USD,133080.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1330800.0,Activity record,,False,True,True,Municipality
379,Production and Productivity of Agricultural and Horicultural Products,Bobonaro,Agriculture,USD,556120.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,5561200.0,Activity record,,False,True,True,Municipality
380,Promotion and support of reforestation initiatives on public and private lands; Management of nurseries of agricultural plants and forest plants,Bobonaro,Agriculture,USD,5800.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,58000.0,Activity record,,False,True,True,Municipality
381,Use of water resources for agricultural purposes,Bobonaro,Agriculture,USD,10329.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,103290.0,Activity record,,False,True,True,Municipality
389,"Agriculture, Horiculture, Coffee, and Industrial and Annual Plants - Implementation of the Food Security Policy",Bobonaro,Agriculture,USD,48625.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,486250.0,Activity record,,False,True,True,Municipality
176,Constrution and Supervision of Lomea Irrigation Project,Covalima,Agriculture,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,1000000.0,Activity record,,False,True,True,Municipality
400,Production and Productivity of Agricultural and Horicultural Products,Covalima,Agriculture,USD,318730.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,3187300.0,Activity record,,False,True,True,Municipality
408,"Agriculture, Horiculture, Coffee, and Industrial and Annual Plants - Implementation of the Food Security Policy",Covalima,Agriculture,USD,47591.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,475910.0,Activity record,,False,True,True,Municipality
430,"Agriculture, Horiculture, Coffee, and Industrial and Annual Plants - Implementation of the Food Security Policy",Dili,Agriculture,USD,301323.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,3013230.0,Activity record,,False,True,True,Municipality
431,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Dili,Agriculture,USD,4000.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,40000.0,Activity record,,False,True,True,Municipality
435,Municipal Agriculture Services,Ermera,Agriculture,USD,317129.0,2025,,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,,3171290.0,Activity record,,False,True,True,Municipality
450,"Agriculture, Horiculture, Coffee, and Industrial and Annual Plants - Implementation of the Food Security Policy; Promotion of barren lands and new crops",Ermera,Agriculture,USD,313817.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,,3138170.0,Activity record,,False,True,True,Municipality
451,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Ermera,Agriculture,USD,3100.0,2025,,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,,31000.0,Activity record,,False,True,True,Municipality
452,Conservation and Protection of Forest Resources - Promotion and support of reforestation initiatives on public and private lands; Management of nurseries,Ermera,Agriculture,USD,58093.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,580930.0,Activity record,,False,True,True,Municipality
165,Construction and Supervision of Laivai Irrigation Project,Lautem,Agriculture,USD,409660.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,4096600.0,Activity record,,False,True,True,Municipality
469,Agriculture Horticulture Coffee - Coordination of extension activities and agricultural mechanization; Implementation of the Food Security Policy,Lautem,Agriculture,USD,625671.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,6256710.0,Activity record,,False,True,True,Municipality
470,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Lautem,Agriculture,USD,750.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,7500.0,Activity record,,False,True,True,Municipality
487,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Liquica,Agriculture,USD,341582.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,3415820.0,Activity record,,False,True,True,Municipality
488,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Liquica,Agriculture,USD,6900.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,69000.0,Activity record,,False,True,True,Municipality
27,Rural Resilience and Livelihood Improvement Sector Project,Manatuto,Agriculture,USD,8500000.0,2025,,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,85000000.0,Activity record,,False,True,True,Municipality
172,Constrution and Supervision of  Laclo Irrigation Project,Manatuto,Agriculture,USD,50000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,500000.0,Activity record,,False,True,True,Municipality
175,Constrution and Supervision of Sahen Irrigation Project,Manatuto,Agriculture,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
504,Sustainable Increase in Production and Productivity - Food Security Monitoring and Surveillance,Manatuto,Agriculture,USD,3000.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,30000.0,Activity record,,False,True,True,Municipality
505,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Manatuto,Agriculture,USD,60039.0,2025,,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,600390.0,Activity record,,False,True,True,Municipality
174,Constrution and Supervision of Rehabilitation Caraulun Irrigation Project,Manufahi,Agriculture,USD,100000.0,2025,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,,1000000.0,Activity record,,False,True,True,Municipality
520,"Agriculture Horticulture Coffee - Coordination of extension activities, Agri mechanization; Implementation of the Food Security Policy; Agro-industrial initiatives",Manufahi,Agriculture,USD,446081.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,,4460810.0,Activity record,,False,True,True,Municipality
571,"Agriculture, Horticulture, Coffee, and Indrustrial Plants - Use of water resources for agricultural purposes; Food Security Policy; Production and Productivity",Oecusse,Agriculture,USD,1190445.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,11904450.0,Activity record,,False,True,True,Municipality
572,"Livestock Veterinary and Technology - Production, Productivity of Animal Products; Animal Disease Control",Oecusse,Agriculture,USD,72720.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,727200.0,Activity record,,False,True,True,Municipality
573,"Fisheries, Aquaculture and Aquatic Resources Management - Fishing and Aquaculture Production and Productivity",Oecusse,Agriculture,USD,62793.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,627930.0,Activity record,,False,True,True,Municipality
574,Sustainable Management of Forest Resources - Conservation and Protection of Forest Resources,Oecusse,Agriculture,USD,29400.0,2025,,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,,294000.0,Activity record,,False,True,True,Municipality
36,Toward Sustainable and Conversion-Free Aquaculture in Southeast Asia,Timor-Leste,Agriculture,USD,4450000.0,2024,,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,44500000.0,Activity record,,False,True,True,National
39,Promoting Climate-Resilient Rural Development and Food Security in Southeast Asia,Timor-Leste,Agriculture,USD,4800000.0,2023,,ADB,Not identified,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,,48000000.0,Activity record,,False,True,True,National
